,Tweet,Polarity
2026, is this what you displaced the local tribes to build,0
2027, so do you do the ukrainian war filming as well,0
2028, sindalah can i come visit  sindalah,P
2029, get this wef propaganda bullshit off my feed sick of seeing it,0
2030, sindalah how much for a week all inclusive,P
2031, so this utopia won't be marauded by cough cough certain groups local to the area right  not to mention nomadic mad max style war bands what about water oh  alcohol how are all the people gonna be able to drink without angering yall  the uh former mentioned ,0
2032, built on the land traditional owners who were murdered and displaced you couldnt bring yourselves to pay them adequately for agreed relocation foundations of sin,0
2033, sindalah this is located in the midst of muhammadan states isnt it,0
2034, now the story is neom will be developed in the metaverse before being built,N
2035, this whole initiative is a farce developed to hedge billions from investors to never deliver the result you are promising comedy,N
2036, can i get a free home in neom,U
2037, #neom the city of #dajjal,U
2038," regenerative agriculture could reclaim the entire peninsula for the cost of two tanker's cargo probably one
a feed the microbiology
b plants grow
c get them eaten and processed by a ruminant
d rinse and repeat
e when earthworms stay job's done",U
2039, no ankit no bigg boss,U
2040, amazing company ,P
2041, bullshit investment with a satan pentagram,N
2042," i asked our tour operator the package
they said still not open
is it true that #neom is not opened yet for tourists",U
2043, #motiontoken launching nfts,N
2044, this looks photoshopped,N
2045, fail hard you dictator,0
2046, we can report this as a scam right,N
2047, just don't forget to bring your bone saw,0
2048, rektbotcrypto just don't forget to bring your bone saw,0
2049," big surprise this saudi scam being advertised on the scammer-in-chief's newly minted scam platform

oh well i guess we should be overjoyed they're just banning journalists rather than chopping them into little pieces",0
2050," looks one  so perfect    
        you know what they  say   ",U
2051, sindalah i have a snap card and drive a  year old minivan but y'all keep targeting me with ads for the luxury yachting community feels good,U
2052," what the fuck is this why is it being promoted to me
i don't even know what the product is",N
2053, looks like a beautiful prison,N
2054, save it for mars,N
2055," condemn wef 
the culprits are not the solution",0
2056, neom desperately wants us to jump on board with the we' can change it all angle  no it is you that wants to change it all  take your dystopian utopia somewhere else thanks,N
2057, new religion for the world ,N
2058, welcome to westworld,N
2059, who would wanna live under a saudi dictatorship fools,0
2060, yes free thinkers this is the matrix,U
2061, a white elephant in the middle of the desert built by a bond villain who likes to chop off journalists heads,0
2062, water flows forever naturally anyway until the evil revolting corporations mess with nature and start to sell nature back to us at a profit,N
2063, trillionaire playground,N
2064, sindalah well which is it climate change gonna cause sea levels to rise catastrophically or invest on this island,N
2065, nobody in their right mind wants to live in your weird ass city,N
2066, made in china more like,N
2067, stop trying so hard to be cool you're not,N
2068, moraes unjustly arrests the tserere indian   ,N
2069, sounds like someone's wet dream,N
2070, a slave camp,N
2071, your isle will burn,N
2072, isnt it only happening in the meta verse,N
2073, you will own nothing and be happy,N
2074," in my whole life i've never seen such a stupid waste of money
stop while it's still possible ",N
2075, sindalah the abusers of the environment  want their special place to abuse appalling,N
2076, fuck's neom,N
2077, boring,N
2078," rainbows and unicorns 
another ploy to empty your pockets 
where do i sign ",N
2079, it is great to see some people are still thinking on the grand scale that humanity has achieved so often in the past but so rarely in modern times hope this works out and benefits the people of saudi arabia,P
2080, looks dumb and pointless,N
2081, awesome,P
2082,  likes,P
2083, they should make a city which can survive apocalyptic world earthquake tsunami nuke proof and self sustainable city if these requirements are full filled the value of the city will sky rocket many western rick people and other asian rich will buy citizen ship,N
2084, sindalah this is never going to happen,N
2085," aren't there people already living in the areas where neom is meant to be that will/are getting kicked out of their lands do they get a cash rebate as well

please don't murder me",N
2086, saudi money helped musk buy twitter so now youre getting a lot of free advertising i guess,0
2087, live in a box because the planet is screwed,N
2088, cool ,P
2089, had to block the constant spam every time i open twitter noone gaf about neom,N
2090, your downfall will be a peculiar pleasure,N
2091, sindalah they used the bo yacht in this ,U
2092, sindalah you call yourself journalist really,N
